Q_Mean,P_Mean,Variance;Measured_real;Measured_imag
-0.0988581,1.83187,1.83187;-0.0672361;0
-2.22955,-2.08412,-2.08412;-1.67471;1
0.314568,0.0748561,0.0748561;-1.34125;0
1.82407,0.587558,0.587558;2.51785;0
0.100367,0.593001,0.593001;0.245479;1
-0.112993,0.0314228,0.0314228;-1.62043;1
-1.40795,0.587811,0.587811;0.488128;1
-0.349709,1.32554,1.32554;0.214566;0
-0.131501,-0.421699,-0.421699;-1.42568;0
-0.717202,-0.85967,-0.85967;0.263827;1
-0.0468289,1.15143,1.15143;-0.371335;1
-1.78739,-0.232388,-0.232388;-1.47503;1
0.252463,-1.45803,-1.45803;1.75649;0
1.21246,0.117168,0.117168;2.36975;0
-1.91606,0.8336,0.8336;0.846745;1
-0.249192,-0.736017,-0.736017;-1.25346;0
0.409009,1.19614,1.19614;-0.926126;0
-0.679491,0.632317,0.632317;-2.30512;0
-0.797575,0.0122323,0.0122323;-1.57281;1
-0.24199,0.572702,0.572702;1.58427;1
0.300165,0.263818,0.263818;-1.52876;1
0.0905732,0.986881,0.986881;-0.380067;0
-0.329367,-1.44188,-1.44188;0.939689;1
2.8687,1.80055,1.80055;3.72872;0
0.645201,-0.219778,-0.219778;0.53667;1
-0.83411,1.36039,1.36039;1.66018;1
-0.476304,1.14162,1.14162;1.60078;0
-2.26302,-1.36753,-1.36753;-0.69823;1
0.0501832,1.34696,1.34696;2.89413;1
0.186236,1.15733,1.15733;1.64505;1
-0.586409,0.80848,0.80848;3.31752;1
0.277812,0.138451,0.138451;1.49759;1
0.385804,1.66842,1.66842;0.576109;1
-0.0456318,-0.22057,-0.22057;-2.25046;1
0.0290684,-0.189423,-0.189423;2.24315;1
0.0837484,-0.415696,-0.415696;-0.902984;1
0.374663,2.05951,2.05951;0.434986;0
0.140729,-0.38311,-0.38311;-1.89851;1
-1.95028,0.596846,0.596846;-3.56478;0
1.08393,0.582842,0.582842;1.16084;0
-0.337961,-1.53184,-1.53184;-0.168035;1
0.191236,1.24457,1.24457;-1.7674;0
-0.137714,-1.45314,-1.45314;-2.75458;1
1.62394,0.318262,0.318262;0.339058;0
1.69499,-0.688615,-0.688615;-0.516949;0
0.824843,-0.35129,-0.35129;-0.454459;1
-0.0762444,-0.511162,-0.511162;0.221276;0
-1.63377,-0.597383,-0.597383;-0.753818;1
-1.66861,0.630231,0.630231;-1.48124;0
-1.19518,-0.849406,-0.849406;-1.34372;1
-0.62099,-0.000294065,-0.000294065;-0.907432;1
-0.254437,-1.38029,-1.38029;-0.447956;1
0.0696165,1.08269,1.08269;-0.0928;0
-0.122899,0.200002,0.200002;-1.62502;0
0.565127,0.838279,0.838279;0.306278;1
-1.49808,0.866153,0.866153;1.8985;1
-0.802372,-0.14493,-0.14493;-0.661654;0
1.11688,-1.10282,-1.10282;-0.938207;1
0.333469,0.221441,0.221441;1.15037;0
-0.602539,0.217247,0.217247;0.249537;1
0.385087,-0.385129,-0.385129;1.3156;0
0.769092,0.666529,0.666529;0.767337;0
-0.727503,-0.217906,-0.217906;-0.44462;1
0.329043,-0.840431,-0.840431;1.3481;0
-0.497857,-0.175698,-0.175698;-1.41568;0
-1.13765,1.95175,1.95175;0.891739;1
-1.02814,0.387251,0.387251;-2.4209;1
-0.0394075,-1.28298,-1.28298;-1.61432;0
0.995702,0.136052,0.136052;-0.974245;0
0.737312,-0.0719792,-0.0719792;-0.529491;1
-0.375414,0.578688,0.578688;-0.281603;0
0.745163,-1.02961,-1.02961;-1.28167;1
0.156402,-0.119199,-0.119199;0.230539;1
-0.776822,1.04945,1.04945;1.96435;1
-1.30645,0.721805,0.721805;-1.36519;0
-0.615407,1.10649,1.10649;-0.625403;0
-0.839002,-1.16935,-1.16935;-1.88243;1
0.438656,0.281554,0.281554;1.40446;1
-0.131192,-0.518461,-0.518461;-0.730647;0
-1.80982,-1.27345,-1.27345;-1.95083;0
-1.65223,1.48565,1.48565;1.95731;1
-0.315377,-0.0671086,-0.0671086;-1.06911;1
-0.881161,-0.314959,-0.314959;-1.07626;1
0.421458,1.08356,1.08356;2.01871;1
0.574038,-0.403101,-0.403101;1.81581;1
1.14366,-0.218208,-0.218208;-3.34547;1
-0.806054,-1.27883,-1.27883;-1.36221;1
-0.276354,-0.142788,-0.142788;0.470451;0
0.637982,0.329553,0.329553;-0.117526;0
2.43176,-0.56715,-0.56715;1.95433;0
-0.00580835,0.536062,0.536062;-0.837455;0
0.38727,1.8244,1.8244;1.61685;0
-1.29773,0.292765,0.292765;2.02106;1
-0.407685,-0.809419,-0.809419;-1.91714;1
0.733985,1.53262,1.53262;2.17855;0
0.576071,1.50952,1.50952;1.58862;1
-1.5449,0.757709,0.757709;2.09811;1
1.5568,1.69945,1.69945;3.34413;1
-1.4205,0.153429,0.153429;-2.7702;0
0.156643,-0.915613,-0.915613;0.337054;1
0.598534,0.997255,0.997255;-1.84385;0
0.102173,-0.54831,-0.54831;-0.362947;1
0.289549,-1.46524,-1.46524;-0.863257;1
-0.117753,-0.361102,-0.361102;0.090884;1
1.6502,-1.65815,-1.65815;2.71938;0
-2.37807,0.772649,0.772649;-1.16751;1
-0.694159,-0.425672,-0.425672;-1.99998;1
-1.29206,0.0964854,0.0964854;-1.97363;0
0.784485,0.496185,0.496185;-1.82987;1
-1.29538,-0.782916,-0.782916;0.947069;0
-0.428487,1.26033,1.26033;0.0764824;0
-0.204019,0.614171,0.614171;0.0842975;1
-0.277748,-1.41621,-1.41621;0.5218;0
1.16481,0.76507,0.76507;0.188629;0
0.178838,0.067324,0.067324;-0.660288;0
0.802483,-1.22991,-1.22991;1.1065;0
0.130241,-0.0547256,-0.0547256;-0.708077;1
0.247475,-0.346515,-0.346515;-0.83813;0
-0.319908,-0.740588,-0.740588;0.275815;1
1.01382,-1.10245,-1.10245;1.2107;1
-2.30825,0.0503256,0.0503256;-3.61425;0
-0.0408563,-0.875411,-0.875411;-1.49899;0
-1.0872,-0.806877,-0.806877;-1.59766;1
0.614883,0.612557,0.612557;-0.0290456;0
0.42652,-0.793624,-0.793624;0.325214;0
0.874327,-0.386694,-0.386694;0.964274;0
0.0980034,1.52193,1.52193;-2.58331;0
-1.91623,-0.472269,-0.472269;-1.2713;1
0.187667,0.0878445,0.0878445;0.0735899;0
-0.369377,-0.0217804,-0.0217804;-1.44221;0
-0.63543,-0.599975,-0.599975;-1.61689;0
-0.0292837,0.468943,0.468943;0.190904;1
-0.479828,1.24459,1.24459;-3.31988;0
0.200166,0.36862,0.36862;0.568126;1
0.225229,-0.408443,-0.408443;-1.22336;1
-0.345995,1.09789,1.09789;-1.12609;0
-0.011285,2.08122,2.08122;1.51409;1
1.85867,-0.752983,-0.752983;0.937561;0
0.244741,-0.544775,-0.544775;-0.91757;0
0.775402,-0.173094,-0.173094;-1.77432;1
0.407563,0.895205,0.895205;2.16015;0
0.674006,-0.896737,-0.896737;-0.119099;0
-0.927505,-0.391377,-0.391377;0.775532;1
-0.965353,-1.48665,-1.48665;-1.83917;1
-1.66006,0.881496,0.881496;-0.798101;0
0.68299,-1.72044,-1.72044;-2.24918;1
-0.005008,-0.795609,-0.795609;0.988914;0
0.593912,1.68669,1.68669;-0.370389;0
-1.32941,1.03474,1.03474;-1.94418;0
0.575516,-0.209852,-0.209852;-0.190508;1
0.922555,1.24271,1.24271;1.13685;0
0.378741,0.481241,0.481241;1.66935;0
0.987143,-0.844935,-0.844935;1.99998;1
0.559113,0.241736,0.241736;-2.00062;1
-0.500724,0.320217,0.320217;-2.03709;0
0.669339,0.950809,0.950809;2.09265;0
-0.322371,-0.303157,-0.303157;0.990418;1
1.62117,0.570633,0.570633;1.25197;0
-2.70868,0.800812,0.800812;-1.85752;0
-0.537318,2.02899,2.02899;-1.13082;0
2.31947,-0.498828,-0.498828;1.89516;0
1.01233,-0.585317,-0.585317;1.43372;0
0.984551,-0.0640029,-0.0640029;2.20827;0
-0.568501,0.783991,0.783991;1.72018;1
0.581791,0.929789,0.929789;0.761657;0
0.573693,-0.156013,-0.156013;-1.52743;1
0.739117,-0.343254,-0.343254;-1.64015;1
0.141918,1.27869,1.27869;0.293668;0
0.67367,-0.477092,-0.477092;1.39268;0
3.5566,2.13283,2.13283;4.07404;0
1.47201,0.36438,0.36438;-1.18403;1
